RegionID,SizeRank,RegionName,RegionType,StateName,month_end,zhvi,list_month
394514,4,"Dallas, TX",msa,TX,2024-08-31,387912.0211113035,2024-08
394514,4,"Dallas, TX",msa,TX,2024-09-30,387706.1008737927,2024-09
394514,4,"Dallas, TX",msa,TX,2024-10-31,387595.8946052945,2024-10
394514,4,"Dallas, TX",msa,TX,2024-11-30,387295.8089860885,2024-11
394514,4,"Dallas, TX",msa,TX,2024-12-31,386750.45652703865,2024-12
394514,4,"Dallas, TX",msa,TX,2025-01-31,386206.34528764273,2025-01
394514,4,"Dallas, TX",msa,TX,2025-02-28,385396.4002908793,2025-02
394514,4,"Dallas, TX",msa,TX,2025-03-31,383850.87349836895,2025-03
394514,4,"Dallas, TX",msa,TX,2025-04-30,381662.9763678043,2025-04
394514,4,"Dallas, TX",msa,TX,2025-05-31,379177.7771493054,2025-05
394514,4,"Dallas, TX",msa,TX,2025-06-30,376746.1758339095,2025-06
394514,4,"Dallas, TX",msa,TX,2025-07-31,374671.87375193345,2025-07
394514,4,"Dallas, TX",msa,TX,2025-08-31,373270.84237101144,2025-08
394514,4,"Dallas, TX",msa,TX,2025-09-30,372605.2716225553,2025-09
394514,4,"Dallas, TX",msa,TX,2025-10-31,372246.71143366303,2025-10
394514,4,"Dallas, TX",msa,TX,2025-11-30,371975.51058843214,2025-11
394514,4,"Dallas, TX",msa,TX,2025-12-31,371751.5708137524,2025-12
394514,4,"Dallas, TX",msa,TX,2026-01-31,371305.6482346274,2026-01
394514,4,"Dallas, TX",msa,TX,2026-02-28,370713.9993053518,2026-02
394514,4,"Dallas, TX",msa,TX,2026-03-31,369629.0292558261,2026-03
394514,4,"Dallas, TX",msa,TX,2026-04-30,368279.7101529729,2026-04
394514,4,"Dallas, TX",msa,TX,2026-05-31,366682.37054691376,2026-05
394514,4,"Dallas, TX",msa,TX,2026-06-30,365420.5030971277,2026-06
394514,4,"Dallas, TX",msa,TX,2026-07-31,364792.5815620674,2026-07
